Date,Price (Close),Volume,Bitcoin Price (Close),Ethereum (Google Interest),NFT (Google Interest),Obs
26-May-21,2888.7,42499766020,39294.2,66,16,420
27-May-21,2736.49,33373635283,38436.97,66,16,421
28-May-21,2419.91,39999114805,35697.61,66,16,422
29-May-21,2279.51,33773720220,34616.07,66,16,423
30-May-21,2390.31,25876619428,35678.13,44,9,424
31-May-21,2714.95,31007383150,37332.86,44,9,425
1-Jun-21,2633.52,27363223090,36684.93,44,9,426
2-Jun-21,2706.13,27723267359,37575.18,44,9,427
3-Jun-21,2855.13,30038207402,39208.77,44,9,428
4-Jun-21,2688.2,34173841611,36894.41,44,9,429
5-Jun-21,2630.58,30496672724,35551.96,44,9,430
6-Jun-21,2715.09,25311639414,35862.38,37,8,431
7-Jun-21,2590.26,30600111277,33560.71,37,8,432
8-Jun-21,2517.44,41909736778,33472.63,37,8,433
9-Jun-21,2608.27,36075832186,37345.12,37,8,434
10-Jun-21,2471.52,28753626390,36702.6,37,8,435
11-Jun-21,2353.77,24832564195,37334.4,37,8,436
12-Jun-21,2372.48,25724364410,35552.52,37,8,437
13-Jun-21,2508.39,27092945370,39097.86,31,8,438
14-Jun-21,2537.89,26964576331,40218.48,31,8,439
15-Jun-21,2610.94,29005279219,40406.27,31,8,440
16-Jun-21,2367.66,24101926180,38347.06,31,8,441
17-Jun-21,2372,21871633186,38053.5,31,8,442
18-Jun-21,2231.73,22752818388,35787.25,31,8,443
19-Jun-21,2178.5,18765854896,35615.87,31,8,444
20-Jun-21,2246.36,22535930423,35698.3,37,7,445
21-Jun-21,1888.45,33745173825,31676.69,37,7,446
22-Jun-21,1874.95,35547251725,32505.66,37,7,447
23-Jun-21,1989.74,28408659206,33723.03,37,7,448
24-Jun-21,1988.46,20272845769,34662.44,37,7,449
25-Jun-21,1813.22,22774334998,31637.78,37,7,450
26-Jun-21,1829.24,20637542361,32186.28,37,7,451
27-Jun-21,1978.89,19885474742,34649.64,27,6,452
28-Jun-21,2079.66,25514602841,34434.34,27,6,453
29-Jun-21,2160.77,24815124419,35867.78,27,6,454
30-Jun-21,2274.55,25828056268,35040.84,27,6,455
1-Jul-21,2113.61,29061701793,33572.12,27,6,456
2-Jul-21,2150.04,31796212554,33897.05,27,6,457
3-Jul-21,2226.11,17433361641,34668.55,27,6,458
4-Jul-21,2321.72,18787107473,35287.78,23,6,459
5-Jul-21,2198.58,20103794829,33746,23,6,460
6-Jul-21,2324.68,20891861314,34235.2,23,6,461
7-Jul-21,2315.16,22398345285,33855.33,23,6,462
8-Jul-21,2120.03,23188123689,32877.37,23,6,463
9-Jul-21,2146.69,23029574602,33798.01,23,6,464
10-Jul-21,2111.4,17581542471,33520.52,23,6,465
11-Jul-21,2139.66,14705386138,34240.19,21,7,466
12-Jul-21,2036.72,17768129077,33155.85,21,7,467
13-Jul-21,1940.08,16621628658,32702.03,21,7,468
14-Jul-21,1994.33,17342819679,32822.35,21,7,469
15-Jul-21,1911.18,15688092552,31780.73,21,7,470
16-Jul-21,1880.38,14884569147,31421.54,21,7,471
17-Jul-21,1898.83,13364282076,31533.07,21,7,472
18-Jul-21,1895.55,13791868728,31796.81,24,6,473
19-Jul-21,1817.3,14157735481,30817.83,24,6,474
20-Jul-21,1787.51,17368597636,29807.35,24,6,475
21-Jul-21,1990.97,21253359756,32110.69,24,6,476
22-Jul-21,2025.2,17495480331,32313.11,24,6,477
23-Jul-21,2124.78,16200392492,33581.55,24,6,478
24-Jul-21,2189.22,16057446601,34292.45,24,6,479
25-Jul-21,2191.37,14566483636,35350.19,27,7,480
26-Jul-21,2233.37,29614324233,37337.54,27,7,481
27-Jul-21,2298.33,23067480378,39406.94,27,7,482
28-Jul-21,2296.55,18991302378,39995.91,27,7,483
29-Jul-21,2380.96,16313373113,40008.42,27,7,484
